,0
538,1468
539,1468
540,1468
541,1468
542,1468
543,1468
544,1468
545,1468
546,1468
547,1468
548,1468
549,1468
550,146
551,168
552,1468
553,1468
554,1468
555,1468
556,1468
557,1468
558,1468
559,1468
560,1468
561,1468
562,1468
563,1468
564,1468
565,1468
566,1468
567,1468
568,1468
569,1468
570,1468
571,1468
572,1468
573,1468
574,155
575,1468
576,1468
577,1468
578,1468
579,1468
580,1468
581,1468
582,1468
583,1468
584,1468
585,1468
586,1468
587,1468
588,1468
589,1468
590,1468
591,1468
592,1468
593,1468
594,1468
595,1468
596,1468
597,265
598,327
599,377
600,429
601,458
602,500
603,541
604,572
605,559
606,524
607,522
608,519
609,495
610,480
611,433
612,393
613,354
614,141
615,1468
616,1468
617,1468
618,1468
619,1468
620,1468
621,1468
622,1468
623,1468
624,1468
625,1468
626,1468
627,1468
628,1468
629,1468
630,1468
631,1468
632,1468
633,1468
634,1468
635,1468
636,1468
637,1468
638,1468
639,1468
640,1468
641,1468
642,1468
643,1468
644,1468
645,1468
646,1468
647,1468
648,1468
649,1468
650,1468
651,1468
652,1468
653,1468
654,1468
655,305
656,126
657,1468
658,1468
659,1468
660,1468
661,1468
662,1468
663,1468
664,1468
665,1468
666,1468
667,1468
668,1468
669,1468
670,1468
671,1468
672,1468
673,1468
674,1468
675,1468
676,1468
677,1468
678,1468
679,1468
680,216
681,1468
682,1468
683,1468
684,1468
685,1468
686,1468
687,1468
688,1468
689,1468
690,1468
691,1468
692,1468
693,1468
694,1468
695,1468
696,1468
697,1468
698,1468
699,1468
700,1468
701,99
702,1468
703,1468
704,1468
705,1468
706,1468
707,1468
708,1468
709,1468
710,1468
711,1468
712,1468
713,1468
714,1468
715,1468
716,1468
717,1468
718,1468
719,1468
720,1468
721,1468
722,1468
723,1468
724,1468
725,246
726,1468
727,1468
728,1468
729,1468
730,1468
731,1468
732,1468
733,1468
734,1468
735,1468
736,1468
737,1468
738,1468
739,1468
740,1468
741,1468
742,1468
743,1468
744,1468
745,1468
746,85
747,1468
748,1468
